ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000067,unit of molality,Class,concentration unit,,"""A concentration unit which is a standard measure of the number of moles of a given substance per kilogram of solvent."" [UOC:GVG]",,
UO:0000068,molal,Class,molal based unit|unit of molality,{molal},"""A unit of concentration which expresses a concentration of a solution of 1 mole per kilogram of solvent (mol/kg)."" [UOC:GVG]",m,
UO:0000068,molal,Named individual,,,"""A unit of concentration which expresses a concentration of a solution of 1 mole per kilogram of solvent (mol/kg)."" [UOC:GVG]",m,
UO:0000069,millimolal,Class,unit of molality,'molal based unit' and (obo:has_prefix some milli)|{millimolal},"""A molality unit which is equal to one thousandth of a molal or 10^[-3] m."" [UOC:GVG]",mm,
UO:0000069,millimolal,Named individual,,,"""A molality unit which is equal to one thousandth of a molal or 10^[-3] m."" [UOC:GVG]",mm,
UO:0000070,micromolal,Class,unit of molality,'molal based unit' and (obo:has_prefix some micro)|{micromolal},"""A molality unit which is equal to one millionth of a molal or 10^[-6] m."" [UOC:GVG]",um,
UO:0000070,micromolal,Named individual,,,"""A molality unit which is equal to one millionth of a molal or 10^[-6] m."" [UOC:GVG]",um,
UO:0000071,nanomolal,Class,unit of molality,'molal based unit' and (obo:has_prefix some nano)|{nanomolal},"""A molality unit which is equal to one thousandth of one millionth of a molal or 10^[-9] m."" [UOC:GVG]",nm,
UO:0000071,nanomolal,Named individual,,,"""A molality unit which is equal to one thousandth of one millionth of a molal or 10^[-9] m."" [UOC:GVG]",nm,
UO:0000072,picomolal,Class,unit of molality,'molal based unit' and (obo:has_prefix some pico)|{picomolal},"""A molality unit which is equal to 10^[-12] m."" [UOC:GVG]",pm,
UO:0000072,picomolal,Named individual,,,"""A molality unit which is equal to 10^[-12] m."" [UOC:GVG]",pm,
UO:0000073,femtomolar,Class,unit of molarity,'molar based unit' and (obo:has_prefix some femto)|{femtomolar},"""A unit of molarity which is equal to 10^[-15] M."" [UOC:GVG]",fM,
UO:0000073,femtomolar,Named individual,,,"""A unit of molarity which is equal to 10^[-15] M."" [UOC:GVG]",fM,
UO:0000074,unit of normality,Class,concentration unit,,"""A unit of concentration which highlights the chemical nature of salts."" [Wikipedia:Wikipedia]",,
UO:0000075,normal,Class,normal based unit|unit of normality,{normal},"""A unit of concentration which is one gram equivalent of a solute per liter of solution. A gram equivalent weight or equivalent is a measure of the reactive capacity of a given molecule."" [Wikipedia:Wikipedia]",N,
